time_ms,raw,filtered,window_size,delta,state,state_label,cmd,cmd_label,relay,led_red,led_green
0,4095,2559,16,4095,1,WARNING,1,RED,0,1,0
5,4095,2815,16,0,2,DANGER,2,RED+RLY,1,1,0
10,4095,3071,16,0,2,DANGER,2,RED+RLY,1,1,0
15,4095,3327,16,0,2,DANGER,2,RED+RLY,1,1,0
20,4095,3583,16,0,2,DANGER,2,RED+RLY,1,1,0
25,4095,3839,16,0,2,DANGER,2,RED+RLY,1,1,0
30,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
35,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
40,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
45,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
50,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
55,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
60,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
65,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
70,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
75,4095,4095,16,0,2,DANGER,2,RED+RLY,1,1,0
80,3808,3951,2,287,2,DANGER,2,RED+RLY,1,1,0
85,2580,3194,2,1228,2,DANGER,2,RED+RLY,1,1,0
90,2375,2477,2,205,1,WARNING,1,RED,0,1,0
95,2375,3785,16,0,2,DANGER,2,RED+RLY,1,1,0
100,2170,2272,2,205,1,WARNING,1,RED,0,1,0
105,1679,1924,2,491,1,WARNING,1,RED,0,1,0
110,1269,1474,2,410,1,WARNING,1,RED,0,1,0
115,860,1064,2,409,0,NORMAL,0,GREEN,0,0,1
120,860,3419,16,0,2,DANGER,2,RED+RLY,1,1,0
125,860,3217,16,0,2,DANGER,2,RED+RLY,1,1,0
130,860,3014,16,0,2,DANGER,2,RED+RLY,1,1,0
135,0,430,2,860,0,NORMAL,0,GREEN,0,0,1
140,0,2705,16,0,1,WARNING,1,RED,0,1,0
145,0,2449,16,0,1,WARNING,1,RED,0,1,0
150,0,2193,16,0,1,WARNING,1,RED,0,1,0
155,0,1937,16,0,1,WARNING,1,RED,0,1,0
160,0,1681,16,0,1,WARNING,1,RED,0,1,0
165,0,1425,16,0,1,WARNING,1,RED,0,1,0
170,0,1169,16,0,0,NORMAL,0,GREEN,0,0,1
175,0,913,16,0,0,NORMAL,0,GREEN,0,0,1
180,0,657,16,0,0,NORMAL,0,GREEN,0,0,1
185,0,401,16,0,0,NORMAL,0,GREEN,0,0,1
190,0,240,16,0,0,NORMAL,0,GREEN,0,0,1
195,0,161,16,0,0,NORMAL,0,GREEN,0,0,1
200,0,107,16,0,0,NORMAL,0,GREEN,0,0,1
205,0,53,16,0,0,NORMAL,0,GREEN,0,0,1
210,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
215,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
220,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
225,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
230,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
235,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
240,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
245,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
250,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
255,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
260,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
265,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
270,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
275,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
280,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
285,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
290,0,0,16,0,0,NORMAL,0,GREEN,0,0,1
295,737,368,2,737,0,NORMAL,0,GREEN,0,0,1
300,737,92,16,0,0,NORMAL,0,GREEN,0,0,1
305,737,138,16,0,0,NORMAL,0,GREEN,0,0,1
310,737,184,16,0,0,NORMAL,0,GREEN,0,0,1
315,1761,1249,2,1024,0,NORMAL,0,GREEN,0,0,1
320,2007,1884,2,246,1,WARNING,1,RED,0,1,0
325,2498,2252,2,491,1,WARNING,1,RED,0,1,0
330,2580,534,16,82,0,NORMAL,0,GREEN,0,0,1
335,3523,3051,2,943,2,DANGER,2,RED+RLY,1,1,0
340,4095,3809,2,572,2,DANGER,2,RED+RLY,1,1,0
345,4095,949,16,0,0,NORMAL,0,GREEN,0,0,1
350,4095,1205,16,0,0,NORMAL,0,GREEN,0,0,1
355,4095,1461,16,0,1,WARNING,1,RED,0,1,0
360,4095,1717,16,0,1,WARNING,1,RED,0,1,0
365,4095,1973,16,0,1,WARNING,1,RED,0,1,0
370,4095,2229,16,0,1,WARNING,1,RED,0,1,0
375,4095,2485,16,0,1,WARNING,1,RED,0,1,0
380,4095,2741,16,0,2,DANGER,2,RED+RLY,1,1,0
385,4095,2741,16,0,2,DANGER,2,RED+RLY,1,1,0
