index,time_s (s),T_raw (deg C),T_filtered (deg C),N_win,|DeltaT| (deg C),"State (0=N,1=W,2=D)",Relay,LED_Red,LED_Green
0,0.0,20.0659,20.0,8,0.0,0,0,0,1
1,0.2,20.1465,20.0,8,0.0806,0,0,0,1
2,0.4,20.1465,20.0,8,0.0,0,0,0,1
3,0.6,20.1465,20.0,8,0.0,0,0,0,1
4,0.8,20.1465,20.0,8,0.0,0,0,0,1
5,1.0,20.1465,20.0,8,0.0,0,0,0,1
6,1.2,20.1465,20.0,8,0.0,0,0,0,1
7,1.4,20.1465,20.0,8,0.0,0,0,0,1
8,1.6,20.1465,20.0,8,0.0,0,0,0,1
9,1.8,20.1465,20.0,8,0.0,0,0,0,1
10,2.0,20.1465,20.0,8,0.0,0,0,0,1
11,2.2,20.1465,20.0,8,0.0,0,0,0,1
12,2.4,20.1465,20.0,8,0.0,0,0,0,1
13,2.6,20.1465,20.0,8,0.0,0,0,0,1
14,2.8,20.1465,20.0,8,0.0,0,0,0,1
15,3.0,20.1465,20.0,8,0.0,0,0,0,1
16,3.2,20.1465,20.0,8,0.0,0,0,0,1
17,3.4,20.1465,20.0,8,0.0,0,0,0,1
18,3.6,20.1465,20.0,8,0.0,0,0,0,1
19,3.8,20.1465,20.0,8,0.0,0,0,0,1
20,4.0,20.1465,20.0,8,0.0,0,0,0,1
21,4.2,20.1465,20.0,8,0.0,0,0,0,1
22,4.4,20.1465,20.0,8,0.0,0,0,0,1
23,4.6,20.1465,20.0,8,0.0,0,0,0,1
24,4.8,20.1465,20.0,8,0.0,0,0,0,1
25,5.0,20.1465,20.0,8,0.0,0,0,0,1
26,5.2,20.1465,20.0,8,0.0,0,0,0,1
27,5.4,20.1465,20.0,8,0.0,0,0,0,1
28,5.6,20.1465,20.0,8,0.0,0,0,0,1
29,5.8,20.1465,20.0,8,0.0,0,0,0,1
30,6.0,20.1465,20.0,8,0.0,0,0,0,1
31,6.2,20.1465,20.0,8,0.0,0,0,0,1
32,6.4,20.1465,20.0,8,0.0,0,0,0,1
33,6.6,20.1465,20.0,8,0.0,0,0,0,1
34,6.8,20.1465,20.0,8,0.0,0,0,0,1
35,7.0,20.1465,20.0,8,0.0,0,0,0,1
36,7.2,20.1465,20.0,8,0.0,0,0,0,1
37,7.4,20.1465,20.0,8,0.0,0,0,0,1
38,7.6,20.1465,20.0,8,0.0,0,0,0,1
39,7.8,20.1465,20.0,8,0.0,0,0,0,1
40,8.0,20.1465,20.0,8,0.0,0,0,0,1
41,8.2,20.1465,20.0,8,0.0,0,0,0,1
42,8.4,20.1465,20.0,8,0.0,0,0,0,1
43,8.6,20.1465,20.0,8,0.0,0,0,0,1
44,8.8,20.1465,20.0,8,0.0,0,0,0,1
45,9.0,20.1465,20.0,8,0.0,0,0,0,1
46,9.2,20.1465,20.0,8,0.0,0,0,0,1
47,9.4,20.1465,20.0,8,0.0,0,0,0,1
48,9.6,20.1465,20.0,8,0.0,0,0,0,1
49,9.8,20.1465,20.0,8,0.0,0,0,0,1
50,10.0,20.1465,20.0,8,0.0,0,0,0,1
51,10.2,20.1465,20.0,8,0.0,0,0,0,1
52,10.4,20.1465,20.0,8,0.0,0,0,0,1
53,10.6,20.1465,20.0,8,0.0,0,0,0,1
54,10.8,20.1465,20.0,8,0.0,0,0,0,1
55,11.0,20.1465,20.0,8,0.0,0,0,0,1
56,11.2,20.1465,20.0,8,0.0,0,0,0,1
57,11.4,20.1465,20.0,8,0.0,0,0,0,1
58,11.6,20.1465,20.0,8,0.0,0,0,0,1
59,11.8,20.1465,20.0,8,0.0,0,0,0,1
60,12.0,20.1465,20.0,8,0.0,0,0,0,1
61,12.2,20.1465,20.0,8,0.0,0,0,0,1
62,12.4,20.1465,20.0,8,0.0,0,0,0,1
63,12.6,20.1465,20.0,8,0.0,0,0,0,1
